user_id,recycle_actions,purchases,eco_score
463b1b80-e5cd-4d16-befe-6614b860c8c6,13,13,96.61175464559074
78aee29c-9814-496b-a316-1ea31882f71f,10,9,85.27357683888019
1032b766-a29b-46f9-b746-9707b27080d7,18,11,100.0
12d2678b-a862-45d3-bba1-8c2abbf71740,15,17,100.0
529dcb9c-b77a-48d9-b469-57961aa585b8,3,17,70.50796122898821
90baf3f2-18d2-48e7-999d-d4193522fc82,17,7,84.27059045354193
7a601043-04b5-4f70-a6a9-0669686ab1fc,18,4,76.49723952280807
084745c9-20d9-4718-8393-f00326cf279a,12,1,45.88126475819523
3cddc283-6bbe-4c5a-902f-411ddb1fb8f8,15,0,57.66923550062867
4698e46f-568a-4f82-b142-25f35128f498,9,4,40.304171090042416
f60c8fce-ab27-462d-a43e-b23438f1568f,14,5,72.08587835292113
ce967842-c96e-4cae-8d73-9291d9ad28ac,13,7,76.91591687725703
1273ee85-e680-4b80-8b35-43bf52493d15,19,17,92.50482566829153
f0a0a75a-f504-4e45-b7f4-1ab52e9060b6,11,9,60.37414438783477
36652f80-26a9-40be-95b5-14460ee3eab3,16,4,65.80433476062171
de863be4-67d9-41bc-89f7-16ada9c845b9,16,1,44.60443572512964
3fc0da5e-6542-4338-abce-c1886985c467,2,2,11.646654934801902
ad59497b-5966-4b10-976d-555dd5fadab3,3,4,9.537868349930303
689e9575-0d25-44e7-b8fe-db5643a3d741,18,3,69.2632685216539
ffee673c-c691-4634-b41b-1d0b3296c770,2,4,1.0
cd8cbcc0-a5c7-4d73-b3e6-e08a87cef7a7,5,12,63.03831976868523
4aa197db-577f-4ac3-af4d-354255a88cc4,6,14,65.1190499188374
333f7dad-558b-4274-bd85-c8e5500a772d,9,1,29.772527169320508
d2c12fab-5bf5-4ca2-9a8f-1632c599a579,11,0,45.54874163101429
ab87c4df-88f3-43fc-9b77-8a6b7277eb03,10,2,41.24347973380257
11549595-fdb9-4b2a-a792-f5d0247e9a34,18,0,66.03679943105845
94997f98-02b3-40c7-94c5-73bec2162d73,19,11,100.0
42746d87-9675-4a47-8a79-88d40130bc04,15,9,93.32667065650418
1331a197-6d59-4bff-ac1c-8e353c671e45,13,18,91.38858594797384
69ce298c-b349-4db7-adde-7fd0bcfd9c59,18,11,93.0478321885929
69719e58-5580-41a9-a58f-a42c58756191,5,10,51.109636225209556
67d01621-44ca-4c25-b56a-912155621df6,13,9,78.87895538969569
ee696ac3-236d-49c9-ba7a-c9a825a09c6e,0,8,23.352971138696628
9809f1a6-fdf9-427a-a7b5-fcd01412031f,8,1,14.716897210156272
fa1943e3-dc0a-48fa-a420-3482223d55ed,2,2,12.105713765967582
3ad9d63c-d541-4a85-96b3-0f242fe5f51d,18,1,67.8294066643886
66c354c1-5d52-4faf-a64c-1987577c619c,13,15,100.0
5ab82683-1c19-4220-bc5b-9726ca55d00a,1,11,28.71875119111547
8fbecb68-fad6-433b-b217-82a05e4f0aac,11,9,79.19661961721751
